env_key,phase,tuning_option,token_source
BATCH_STRATEGY,Phase 10,BATCH_STRATEGY,env
BING_SEARCH_ENDPOINT,Phase 03,BING_SEARCH_ENDPOINT,env
BING_SEARCH_KEY,Phase 03,BING_SEARCH_KEY,env
CAPTURE_PAGE_SCREENSHOT_FORMAT,Phase 08B,CAPTURE_PAGE_SCREENSHOT_FORMAT,env
CORTEX_API_KEY,CORTEX,CORTEX_API_KEY,env
DUCKDUCKGO_BASE_URL,Phase 03,DUCKDUCKGO_BASE_URL,env
FRONTIER_DB_PATH,Phase 04,FRONTIER_DB_PATH,env
GOOGLE_CSE_CX,Phase 03,GOOGLE_CSE_CX,env
GOOGLE_CSE_KEY,Phase 03,GOOGLE_CSE_KEY,env
HELPER_FILES_ROOT,Phase 10,HELPER_FILES_ROOT,env
IMPORTS_ROOT,Daemon,IMPORTS_ROOT,env
INDEXING_RESUME_MODE,Indexing,INDEXING_RESUME_MODE,env
LLM_MODEL_VALIDATE,Phase 08,LLM_MODEL_VALIDATE,env
LLM_MODEL_WRITE,Phase 08,LLM_MODEL_WRITE,env
LLM_PLAN_API_KEY,Phase 02,LLM_PLAN_API_KEY,env
LLM_PLAN_BASE_URL,Phase 02,LLM_PLAN_BASE_URL,env
LLM_PLAN_FALLBACK_MODEL,Phase 02,LLM_PLAN_FALLBACK_MODEL,env
LLM_PLAN_PROVIDER,Phase 02,LLM_PLAN_PROVIDER,env
LOCAL_INPUT_ROOT,Output,LOCAL_INPUT_ROOT,env
LOCAL_OUTPUT_ROOT,Output,LOCAL_OUTPUT_ROOT,env
MAX_CANDIDATE_URLS_PER_PRODUCT,Discovery,MAX_CANDIDATE_URLS,env
OUTPUT_MODE,Output,OUTPUT_MODE,env
PDF_PREFERRED_BACKEND,Parsing 06,PDF_PREFERRED_BACKEND,env
RUNTIME_CONTROL_FILE,Phase 00,RUNTIME_CONTROL_FILE,env
RUNTIME_SCREENSHOT_MODE,Phase 08B,RUNTIME_SCREENSHOT_MODE,env
SEARXNG_BASE_URL,Phase 03,SEARXNG_BASE_URL,env
SPEC_DB_DIR,Phase 06A,SPEC_DB_DIR,env
STATIC_DOM_MODE,Parsing 01,STATIC_DOM_MODE,env
VISUAL_ASSET_CAPTURE_ENABLED,Phase 08B,VISUAL_ASSET_CAPTURE_ENABLED,env
VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,Phase 08B,VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,env
VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,Phase 08B,VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,env
VISUAL_ASSET_LLM_MAX_BYTES,Phase 08B,VISUAL_ASSET_LLM_MAX_BYTES,env
VISUAL_ASSET_MAX_PHASH_DISTANCE,Phase 08B,VISUAL_ASSET_MAX_PHASH_DISTANCE,env
VISUAL_ASSET_MIN_ENTROPY,Phase 08B,VISUAL_ASSET_MIN_ENTROPY,env
VISUAL_ASSET_MIN_HEIGHT,Phase 08B,VISUAL_ASSET_MIN_HEIGHT,env
VISUAL_ASSET_MIN_SHARPNESS,Phase 08B,VISUAL_ASSET_MIN_SHARPNESS,env
VISUAL_ASSET_MIN_WIDTH,Phase 08B,VISUAL_ASSET_MIN_WIDTH,env
VISUAL_ASSET_PHASH_ENABLED,Phase 08B,VISUAL_ASSET_PHASH_ENABLED,env
VISUAL_ASSET_REGION_CROP_MAX_SIDE,Phase 08B,VISUAL_ASSET_REGION_CROP_MAX_SIDE,env
VISUAL_ASSET_REGION_CROP_QUALITY,Phase 08B,VISUAL_ASSET_REGION_CROP_QUALITY,env
VISUAL_ASSET_RETENTION_DAYS,Phase 08B,VISUAL_ASSET_RETENTION_DAYS,env
VISUAL_ASSET_REVIEW_FORMAT,Phase 08B,VISUAL_ASSET_REVIEW_FORMAT,env
VISUAL_ASSET_REVIEW_LG_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_LG_MAX_SIDE,env
VISUAL_ASSET_REVIEW_LG_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_LG_QUALITY,env
VISUAL_ASSET_REVIEW_SM_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_SM_MAX_SIDE,env
VISUAL_ASSET_REVIEW_SM_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_SM_QUALITY,env
VISUAL_ASSET_STORE_ORIGINAL,Phase 08B,VISUAL_ASSET_STORE_ORIGINAL,env
WORKERS_FETCH,Phase 11,WORKERS_FETCH,env
WORKERS_LLM,Phase 11,WORKERS_LLM,env
WORKERS_PARSE,Phase 11,WORKERS_PARSE,env
WORKERS_SEARCH,Phase 11,WORKERS_SEARCH,env
