env_key,phase,tuning_option,token_source
VISUAL_ASSET_CAPTURE_ENABLED,Phase 08B,VISUAL_ASSET_CAPTURE_ENABLED,env
VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,Phase 08B,VISUAL_ASSET_CAPTURE_MAX_PER_SOURCE,env
VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,Phase 08B,VISUAL_ASSET_HERO_SELECTOR_MAP_JSON,env
VISUAL_ASSET_LLM_MAX_BYTES,Phase 08B,VISUAL_ASSET_LLM_MAX_BYTES,env
VISUAL_ASSET_MAX_PHASH_DISTANCE,Phase 08B,VISUAL_ASSET_MAX_PHASH_DISTANCE,env
VISUAL_ASSET_MIN_ENTROPY,Phase 08B,VISUAL_ASSET_MIN_ENTROPY,env
VISUAL_ASSET_MIN_HEIGHT,Phase 08B,VISUAL_ASSET_MIN_HEIGHT,env
VISUAL_ASSET_MIN_SHARPNESS,Phase 08B,VISUAL_ASSET_MIN_SHARPNESS,env
VISUAL_ASSET_MIN_WIDTH,Phase 08B,VISUAL_ASSET_MIN_WIDTH,env
VISUAL_ASSET_PHASH_ENABLED,Phase 08B,VISUAL_ASSET_PHASH_ENABLED,env
VISUAL_ASSET_REGION_CROP_MAX_SIDE,Phase 08B,VISUAL_ASSET_REGION_CROP_MAX_SIDE,env
VISUAL_ASSET_REGION_CROP_QUALITY,Phase 08B,VISUAL_ASSET_REGION_CROP_QUALITY,env
VISUAL_ASSET_RETENTION_DAYS,Phase 08B,VISUAL_ASSET_RETENTION_DAYS,env
VISUAL_ASSET_REVIEW_FORMAT,Phase 08B,VISUAL_ASSET_REVIEW_FORMAT,env
VISUAL_ASSET_REVIEW_LG_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_LG_MAX_SIDE,env
VISUAL_ASSET_REVIEW_LG_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_LG_QUALITY,env
VISUAL_ASSET_REVIEW_SM_MAX_SIDE,Phase 08B,VISUAL_ASSET_REVIEW_SM_MAX_SIDE,env
VISUAL_ASSET_REVIEW_SM_QUALITY,Phase 08B,VISUAL_ASSET_REVIEW_SM_QUALITY,env
VISUAL_ASSET_STORE_ORIGINAL,Phase 08B,VISUAL_ASSET_STORE_ORIGINAL,env
WORKERS_FETCH,Phase 11,WORKERS_FETCH,env
WORKERS_LLM,Phase 11,WORKERS_LLM,env
WORKERS_PARSE,Phase 11,WORKERS_PARSE,env
WORKERS_SEARCH,Phase 11,WORKERS_SEARCH,env
