key,status,selected_key,generated_field,ui_catalog,parse_template,known_values_bucket,cross_validation_types,data_list_mode,data_list_manual_values,data_list_sheet,data_list_value_column,component_property_mapped,component_property_binding_ok,component_property_types,component_property_variance,component_ref,component_type,component_db_rows_for_type,issues
acceleration,GAP,true,true,true,number_with_unit,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
adjustable_scroll_wheel,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
adjustable_weight,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
battery_hours,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
bluetooth,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
cable_type,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
click_force,GAP,true,true,true,number_with_unit,false,,,false,,,true,false,string,override_allowed,false,,0,component_property_map_not_bound_to_workbook
click_latency,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
click_latency_list,OK,true,true,true,latency_list_modes_ms,false,,,false,,,false,false,,,false,,0,
coating,OK,true,true,true,list_of_tokens_delimited,true,,scratch,true,,,false,false,,,false,,0,
colors,OK,true,true,true,list_of_tokens_delimited,false,,,false,,,false,false,,,false,,0,
computer_side_connector,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
connection,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
connectivity,OK,true,true,true,list_of_tokens_delimited,true,,scratch,true,,,false,false,,,false,,0,
debounce,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
design,OK,true,true,true,list_of_tokens_delimited,false,,,false,,,false,false,,,false,,0,
discontinued,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
dpi,GAP,true,true,true,number_with_unit,false,range|component_db_lookup,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
encoder,GAP,true,true,true,component_reference,false,,,false,,,false,false,,,true,encoder,0,component_reference_without_component_db_rows
encoder_brand,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
encoder_life_span,GAP,false,false,false,,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook|component_property_key_missing_generated_field_contract
encoder_link,OK,true,true,true,url_field,false,,,false,,,false,false,,,false,,0,
encoder_steps,GAP,false,false,false,,false,,scratch,true,,,true,false,string,authoritative,false,,0,data_list_missing_known_values_bucket|component_property_map_not_bound_to_workbook|component_property_key_missing_generated_field_contract
encoder_type,GAP,false,false,false,,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook|component_property_key_missing_generated_field_contract
feet_material,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
flawless_sensor,GAP,true,true,true,boolean_yes_no_unk,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
form_factor,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
front_flare,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
grip,OK,true,true,true,list_of_tokens_delimited,false,,,false,,,false,false,,,false,,0,
hand_size,OK,true,true,true,list_of_tokens_delimited,false,,,false,,,false,false,,,false,,0,
hardware_acceleration,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
height,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
honeycomb_frame,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
hot_swappable,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
hump,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
ips,GAP,true,true,true,number_with_unit,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
lift,OK,true,true,true,list_numbers_or_ranges_with_unit,false,,,false,,,false,false,,,false,,0,
lift_notes,GAP,false,false,false,,false,,scratch,false,,,false,false,,,false,,0,data_list_missing_known_values_bucket
lift_settings,OK,true,true,true,list_of_tokens_delimited,false,,,false,,,false,false,,,false,,0,
lighting,OK,true,true,true,list_of_tokens_delimited,true,,scratch,true,,,false,false,,,false,,0,
lngth,OK,true,true,true,number_with_unit,false,group_completeness,,false,,,false,false,,,false,,0,
material,GAP,true,true,true,component_reference,false,,,false,,,false,false,,,true,material,0,component_reference_without_component_db_rows
mcu,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
mcu_link,OK,true,true,true,url_field,false,,,false,,,false,false,,,false,,0,
middle_buttons,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
motion_sync,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
mouse_side_connector,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
nvidia_reflex,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
onboard_memory,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
onboard_memory_value,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
paracord,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
polling,GAP,false,false,false,,false,,scratch,false,,,false,false,,,false,,0,data_list_missing_known_values_bucket
polling_rate,OK,true,true,true,list_of_numbers_with_unit,false,range,,false,,,false,false,,,false,,0,
price_range,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
profile_switching,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
programmable_buttons,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
release_date,OK,true,true,true,date_field,false,,,false,,,false,false,,,false,,0,
releasing_force,GAP,false,false,false,,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook|component_property_key_missing_generated_field_contract
rgb,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
sensor,GAP,true,true,true,component_reference,false,,,false,,,false,false,,,true,sensor,0,component_reference_without_component_db_rows
sensor_brand,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
sensor_date,GAP,true,true,true,date_field,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
sensor_latency,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
sensor_latency_list,OK,true,true,true,latency_list_modes_ms,false,,,false,,,false,false,,,false,,0,
sensor_link,OK,true,true,true,url_field,false,,,false,,,false,false,,,false,,0,
sensor_type,GAP,true,true,true,text_field,true,,scratch,true,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
shape,OK,true,true,true,text_field,true,,scratch,true,,,false,false,,,false,,0,
shift_latency,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
side_buttons,OK,true,true,true,number_with_unit,false,,,false,,,false,false,,,false,,0,
silent_clicks,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
sku,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
smoothing,OK,true,true,true,boolean_yes_no_unk,false,,,false,,,false,false,,,false,,0,
switch,GAP,true,true,true,component_reference,false,,,false,,,false,false,,,true,switch,0,component_reference_without_component_db_rows
switch_brand,OK,true,true,true,text_field,false,,,false,,,false,false,,,false,,0,
switch_life_span,GAP,false,false,false,,false,,,false,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook|component_property_key_missing_generated_field_contract
switch_link,GAP,true,false,false,,false,,,false,,,false,false,,,false,,0,selected_key_missing_in_generated
switch_type,GAP,true,true,true,text_field,true,,scratch,true,,,true,false,string,authoritative,false,,0,component_property_map_not_bound_to_workbook
switches_link,GAP,false,true,true,text_field,false,,,false,,,false,false,,,false,,0,generated_extra_not_selected
