key,resolved_key,migrated,in_selected,in_overrides,in_component_properties,in_data_lists,generated_exists,in_ui_catalog,in_parse_templates,in_known_values,issues
acceleration,acceleration,false,true,true,true,false,true,true,true,false,
adjustable_scroll_wheel,adjustable_scroll_wheel,false,true,true,false,false,true,true,true,false,
adjustable_weight,adjustable_weight,false,true,true,false,false,true,true,true,false,
battery_hours,battery_hours,false,true,true,false,false,true,true,true,false,
bluetooth,bluetooth,false,true,true,false,false,true,true,true,false,
cable_type,cable_type,false,true,true,false,false,true,true,true,false,
click_force,click_force,false,true,true,true,false,true,true,true,false,
click_latency,click_latency,false,true,true,false,false,true,true,true,false,
click_latency_list,click_latency_list,false,true,true,false,false,true,true,true,false,
coating,coating,false,true,true,false,true,true,true,true,true,
colors,colors,false,true,true,false,false,true,true,true,false,
computer_side_connector,computer_side_connector,false,true,true,false,false,true,true,true,false,
connection,connection,false,true,true,false,true,true,true,true,true,
connectivity,connectivity,false,true,true,false,true,true,true,true,true,
debounce,debounce,false,true,true,false,false,true,true,true,false,
design,design,false,true,true,false,false,true,true,true,false,
discontinued,discontinued,false,true,true,false,false,true,true,true,false,
dpi,dpi,false,true,true,true,false,true,true,true,false,
encoder,encoder,false,true,true,false,false,true,true,true,false,
encoder_brand,encoder_brand,false,true,true,false,false,true,true,true,false,
encoder_life_span,encoder_life_span,false,false,false,true,false,true,true,true,false,
encoder_link,encoder_link,false,true,true,false,false,true,true,true,false,
encoder_steps,encoder_steps,false,false,false,true,true,true,true,true,true,
encoder_type,encoder_type,false,false,false,true,false,true,true,true,false,
feet_material,feet_material,false,true,true,false,true,true,true,true,true,
flawless_sensor,flawless_sensor,false,true,true,true,false,true,true,true,false,
form_factor,form_factor,false,true,true,false,true,true,true,true,true,
front_flare,front_flare,false,true,true,false,true,true,true,true,true,
grip,grip,false,true,true,false,false,true,true,true,false,
hand_size,hand_size,false,true,true,false,false,true,true,true,false,
hardware_acceleration,hardware_acceleration,false,true,true,false,false,true,true,true,false,
height,height,false,true,true,false,false,true,true,true,false,
honeycomb_frame,honeycomb_frame,false,true,true,false,false,true,true,true,false,
hot_swappable,hot_swappable,false,true,true,false,false,true,true,true,false,
hump,hump,false,true,true,false,true,true,true,true,true,
ips,ips,false,true,true,true,false,true,true,true,false,
lift,lift,false,true,true,false,false,true,true,true,false,
lift_notes,lift_notes,false,false,false,false,true,false,false,false,false,data_list_missing_known_values_bucket
lift_settings,lift_settings,false,true,true,false,false,true,true,true,false,
lighting,lighting,false,true,true,false,true,true,true,true,true,
lngth,lngth,false,true,true,false,false,true,true,true,false,
material,material,false,true,true,false,false,true,true,true,false,
mcu,mcu,false,true,true,false,true,true,true,true,true,
mcu_link,mcu_link,false,true,true,false,false,true,true,true,false,
middle_buttons,middle_buttons,false,true,true,false,false,true,true,true,false,
motion_sync,motion_sync,false,true,true,false,false,true,true,true,false,
mouse_side_connector,mouse_side_connector,false,true,true,false,false,true,true,true,false,
nvidia_reflex,nvidia_reflex,false,true,true,false,false,true,true,true,false,
onboard_memory,onboard_memory,false,true,true,false,false,true,true,true,false,
onboard_memory_value,onboard_memory_value,false,true,true,false,false,true,true,true,false,
paracord,paracord,false,true,true,false,false,true,true,true,false,
polling,polling,false,false,false,false,true,false,false,false,false,data_list_missing_known_values_bucket
polling_rate,polling_rate,false,true,true,false,false,true,true,true,false,
price_range,price_range,false,true,true,false,false,true,true,true,false,
profile_switching,profile_switching,false,true,true,false,false,true,true,true,false,
programmable_buttons,programmable_buttons,false,true,true,false,false,true,true,true,false,
release_date,release_date,false,true,true,false,false,true,true,true,false,
releasing_force,releasing_force,false,false,false,true,false,true,true,true,false,
rgb,rgb,false,true,true,false,false,true,true,true,false,
sensor,sensor,false,true,true,false,false,true,true,true,false,
sensor_brand,sensor_brand,false,true,true,false,false,true,true,true,false,
sensor_date,sensor_date,false,true,true,true,false,true,true,true,false,
sensor_latency,sensor_latency,false,true,true,false,false,true,true,true,false,
sensor_latency_list,sensor_latency_list,false,true,true,false,false,true,true,true,false,
sensor_link,sensor_link,false,true,true,false,false,true,true,true,false,
sensor_type,sensor_type,false,true,true,true,true,true,true,true,true,
shape,shape,false,true,true,false,true,true,true,true,true,
shift_latency,shift_latency,false,true,true,false,false,true,true,true,false,
side_buttons,side_buttons,false,true,true,false,false,true,true,true,false,
silent_clicks,silent_clicks,false,true,true,false,false,true,true,true,false,
sku,sku,false,true,true,false,false,true,true,true,false,
smoothing,smoothing,false,true,true,false,false,true,true,true,false,
switch,switch,false,true,true,false,false,true,true,true,false,
switch_brand,switch_brand,false,true,true,false,false,true,true,true,false,
switch_life_span,switch_life_span,false,false,false,true,false,true,true,true,false,
switch_link,switches_link,true,true,true,false,false,true,true,true,false,
switch_type,switch_type,false,true,true,true,true,true,true,true,true,
switches_link,switches_link,false,false,true,false,false,true,true,true,false,
thumb_rest,thumb_rest,false,true,true,false,false,true,true,true,false,
tilt_scroll_wheel,tilt_scroll_wheel,false,true,true,false,false,true,true,true,false,
weight,weight,false,true,true,false,false,true,true,true,false,
width,width,false,true,true,false,false,true,true,true,false,
wireless_charging,wireless_charging,false,true,true,false,false,true,true,true,false,
